issueID,createdAt,createdBy,title,category,projectName,status,description,resolutionStatus,completedAt
CR-202604-001,20260401,Tanaka,ログイン画面で認証エラー発生,障害,PKG,完了,特定ユーザーでログイン時に500エラーが発生,本番反映後の正常性確認完了,20260422
CR-202604-002,20260402,Suzuki,帳票CSVの列順変更要望,顧客要望,SKB,完了,顧客より売上CSVの列順を変更したい要望,対応完了,20260416
CR-202604-003,20260403,Sato,バッチ処理時間短縮の改善案,改善,MJR,完了,夜間バッチのSQL性能改善,対応完了,20260409
CR-202604-004,20260404,John,試験仕様書レビュー残件,残作業,SMT,完了,結合試験仕様書の未レビュー項目が残存,対応完了,20260415
CR-202604-005,20260406,Yamada,画面遷移時にメニュー崩れ,障害,JPB,確認中/検証中,SP表示でサイドメニューが崩れる,複数端末で検証中,
CR-202604-006,20260407,Miller,検索条件保存機能の追加,顧客要望,RLB,完了,検索条件を次回利用時も再利用したい,受入確認完了,20260424
CR-202604-007,20260408,Kobayashi,メール文言の改善提案,改善,PKG,完了,通知メールの文言をわかりやすくしたい,対応完了,20260410
CR-202604-008,20260408,Lee,運用手順書の残タスク,残作業,SKB,完了,手順書のバックアップ章が未作成,手順書更新完了,20260423
CR-202604-009,20260409,Smith,顧客からの権限設定方法QA,QA,MJR,完了,権限設定方法に関する問い合わせ,対応完了,20260410
CR-202604-010,20260410,Takahashi,注文登録で二重送信,障害,SMT,確認中/検証中,注文ボタン連打で重複登録,排他制御の負荷試験中,
CR-202604-011,20260411,Anderson,承認一覧の並び順要望,顧客要望,JPB,完了,承認一覧を申請日降順にしたい,顧客確認完了,20260423
CR-202604-012,20260413,Nakamura,APIタイムアウト障害,障害,RLB,調査中,ピーク時にAPI応答が30秒超過,DB接続数とAPMログを分析中,
CR-202604-013,20260414,Wilson,検索速度改善,改善,PKG,修正中/対応中,商品検索レスポンスが遅い,Elasticsearchキャッシュ導入中,
CR-202604-014,20260415,Ito,マニュアル画像差し替え残件,残作業,SKB,修正中/対応中,旧画面キャプチャが残っている,新UI画像へ差し替え中,
CR-202604-015,20260417,Thomas,CSV出力文字化けQA,QA,JPB,完了,Excelで文字化けするとの問い合わせ,UTF-8 BOM付きで案内し解決,20260421
CR-202604-016,20260420,Garcia,通知遅延障害,障害,MJR,新規/未着手,メール通知が5分遅延する,受付済み,
CR-202604-017,20260421,Yoshida,一覧画面フィルタ追加要望,顧客要望,SMT,新規/未着手,部署フィルタを追加したい,要件ヒアリング待ち,
CR-202604-018,20260422,Moore,コード生成テンプレート改善,改善,RLB,保留,テンプレート共通化の提案,他案件優先で保留,
CR-202604-019,20260423,Kato,移行チェックリスト残件,残作業,JPB,新規/未着手,本番移行チェック項目の一部未作成,担当者アサイン済み,
CR-202604-020,20260424,Martin,パスワード初期化手順QA,QA,PKG,新規/未着手,初期化メールが届かない問い合わせ,ログ確認待ち,

